date,userId,income,expense
2024-04-21,default_user,2863.98,2368.88
2024-04-22,default_user,3472.97,2526.84
2024-04-23,default_user,3669.7,2131.44
2024-04-24,default_user,3931.89,2353.32
2024-04-25,default_user,3848.96,2422.78
2024-04-26,default_user,3908.48,2611.84
2024-04-27,default_user,3268.96,2422.77
2024-04-28,default_user,2721.02,2220.72
2024-04-29,default_user,3567.99,2639.83
2024-04-30,default_user,3717.61,2385.18
2024-05-01,default_user,3987.35,3643.16
2024-05-02,default_user,3830.73,2493.55
2024-05-03,default_user,4074.36,2362.45
2024-05-04,default_user,3204.55,2450.92
2024-05-05,default_user,3106.78,2206.34
2024-05-06,default_user,3654.06,2134.59
2024-05-07,default_user,3057.81,2298.44
2024-05-08,default_user,3631.06,2565.84
2024-05-09,default_user,4080.47,2189.21
2024-05-10,default_user,4073.45,2228.72
2024-05-11,default_user,3094.44,2356.7
2024-05-12,default_user,2945.4,2557.43
2024-05-13,default_user,3677.2,2473.54
2024-05-14,default_user,3880.89,2497.17
2024-05-15,default_user,3708.86,2282.39
2024-05-16,default_user,3802.51,2501.88
2024-05-17,default_user,3804.68,2832.92
2024-05-18,default_user,2916.78,2215.16
2024-05-19,default_user,3114.52,2669.37
2024-05-20,default_user,3649.62,2564.37
2024-05-21,default_user,4080.59,2397.48
2024-05-22,default_user,3515.47,2319.11
2024-05-23,default_user,4163.82,2155.5
2024-05-24,default_user,3881.19,2461.42
2024-05-25,default_user,3048.3,2546.57
2024-05-26,default_user,3073.19,2834.65
2024-05-27,default_user,3683.79,2307.59
2024-05-28,default_user,3589.15,2268.08
2024-05-29,default_user,4114.88,2316.21
2024-05-30,default_user,3913.63,2553.59
2024-05-31,default_user,3697.54,2366.34
2024-06-01,default_user,2672.48,3724.83
2024-06-02,default_user,2791.67,2495.0
2024-06-03,default_user,3832.77,2417.32
2024-06-04,default_user,3800.54,2451.35
2024-06-05,default_user,4153.6,2582.4
2024-06-06,default_user,4005.22,2240.11
2024-06-07,default_user,4109.86,2491.15
2024-06-08,default_user,3445.14,2417.66
2024-06-09,default_user,3427.48,2358.92
2024-06-10,default_user,3938.27,2444.72
2024-06-11,default_user,3611.73,2221.36
2024-06-12,default_user,3850.25,2681.16
2024-06-13,default_user,4146.49,2549.44
2024-06-14,default_user,3295.64,2553.89
2024-06-15,default_user,3282.96,2327.41
2024-06-16,default_user,2787.95,2426.46
2024-06-17,default_user,3976.82,2237.44
2024-06-18,default_user,3639.45,2672.96
2024-06-19,default_user,3782.07,2362.75
2024-06-20,default_user,3972.44,2205.37
2024-06-21,default_user,3950.2,2211.55
2024-06-22,default_user,3370.9,2430.33
2024-06-23,default_user,3521.26,2480.79
2024-06-24,default_user,3892.62,2196.13
2024-06-25,default_user,3721.47,2489.37
2024-06-26,default_user,4335.64,2129.12
2024-06-27,default_user,4201.25,2538.6
2024-06-28,default_user,4284.2,2560.87
2024-06-29,default_user,3168.22,2339.22
2024-06-30,default_user,2643.96,2468.78
2024-07-01,default_user,3508.88,4297.73
2024-07-02,default_user,3604.84,2492.23
2024-07-03,default_user,3512.56,2363.86
2024-07-04,default_user,4024.49,2583.83
2024-07-05,default_user,4268.44,2428.05
2024-07-06,default_user,2881.49,2518.89
2024-07-07,default_user,3090.85,2525.46
2024-07-08,default_user,3387.33,2641.45
2024-07-09,default_user,3785.17,2563.89
2024-07-10,default_user,4228.93,2548.07
2024-07-11,default_user,4036.43,2826.38
2024-07-12,default_user,3972.94,2386.09
2024-07-13,default_user,3194.39,2706.74
2024-07-14,default_user,2996.88,2533.81
2024-07-15,default_user,3866.93,2348.49
2024-07-16,default_user,3337.16,2495.18
2024-07-17,default_user,3973.44,2332.32
2024-07-18,default_user,4188.17,2551.6
2024-07-19,default_user,3668.86,2536.0
2024-07-20,default_user,3122.97,2176.26
2024-07-21,default_user,3086.04,2435.54
2024-07-22,default_user,3387.28,2538.29
2024-07-23,default_user,3896.42,2340.68
2024-07-24,default_user,4021.7,2627.83
2024-07-25,default_user,3797.83,2514.16
2024-07-26,default_user,3923.9,2853.96
2024-07-27,default_user,2712.02,2571.71
2024-07-28,default_user,2901.84,2429.0
2024-07-29,default_user,4054.6,2445.98
2024-07-30,default_user,4340.24,2368.41
2024-07-31,default_user,4014.84,2360.13
2024-08-01,default_user,3808.93,3960.21
2024-08-02,default_user,3858.17,2485.89
2024-08-03,default_user,2656.94,2810.36
2024-08-04,default_user,2942.25,2764.12
2024-08-05,default_user,3333.02,2503.54
2024-08-06,default_user,4576.84,2294.81
2024-08-07,default_user,3558.99,2353.47
2024-08-08,default_user,4105.32,2577.12
2024-08-09,default_user,4257.0,2406.54
2024-08-10,default_user,2788.24,2374.97
2024-08-11,default_user,3299.66,2537.58
2024-08-12,default_user,3101.17,2447.93
2024-08-13,default_user,4140.74,2837.5
2024-08-14,default_user,4078.83,2510.87
2024-08-15,default_user,3682.75,2303.9
2024-08-16,default_user,3951.74,2546.74
2024-08-17,default_user,3339.45,2370.56
2024-08-18,default_user,2707.21,2317.12
2024-08-19,default_user,3306.76,2573.41
2024-08-20,default_user,3218.73,2398.09
2024-08-21,default_user,4056.48,2732.52
2024-08-22,default_user,4016.22,2639.27
2024-08-23,default_user,3845.86,2325.53
2024-08-24,default_user,3031.4,2734.92
2024-08-25,default_user,3249.36,2548.21
2024-08-26,default_user,4434.17,2455.14
2024-08-27,default_user,3957.49,2516.81
2024-08-28,default_user,3894.14,2878.83
2024-08-29,default_user,4380.65,2210.49
2024-08-30,default_user,3851.25,2539.98
2024-08-31,default_user,3401.4,2220.64
2024-09-01,default_user,2442.51,3620.69
2024-09-02,default_user,3589.42,2445.74
2024-09-03,default_user,3894.3,2326.26
2024-09-04,default_user,3649.15,2101.13
2024-09-05,default_user,4091.9,2532.37
2024-09-06,default_user,4205.06,2608.58
2024-09-07,default_user,3163.52,2709.59
2024-09-08,default_user,2977.91,2348.25
2024-09-09,default_user,3482.66,2362.41
2024-09-10,default_user,3272.17,2496.3
2024-09-11,default_user,4023.28,2403.43
2024-09-12,default_user,3836.74,2536.04
2024-09-13,default_user,4391.63,2476.49
2024-09-14,default_user,3089.89,2363.62
2024-09-15,default_user,3000.16,2242.9
2024-09-16,default_user,3587.08,2482.05
2024-09-17,default_user,4280.37,2641.35
2024-09-18,default_user,4224.92,2343.67
2024-09-19,default_user,4188.28,2267.39
2024-09-20,default_user,4046.0,2548.33
2024-09-21,default_user,3030.8,2833.33
2024-09-22,default_user,3165.04,2131.43
2024-09-23,default_user,3762.21,2401.07
2024-09-24,default_user,3825.14,2558.72
2024-09-25,default_user,4069.64,2108.31
2024-09-26,default_user,3736.82,2614.91
2024-09-27,default_user,4298.91,2818.89
2024-09-28,default_user,3678.79,2106.8
2024-09-29,default_user,3221.17,2132.35
2024-09-30,default_user,4033.0,2523.36
2024-10-01,default_user,3545.11,4340.02
2024-10-02,default_user,4138.6,2138.31
2024-10-03,default_user,4105.37,2347.59
2024-10-04,default_user,4007.03,2395.94
2024-10-05,default_user,3576.97,2223.97
2024-10-06,default_user,3113.75,2807.19
2024-10-07,default_user,3428.46,2519.04
2024-10-08,default_user,3886.5,2357.45
2024-10-09,default_user,4145.18,2499.55
2024-10-10,default_user,3801.66,2799.72
2024-10-11,default_user,4182.71,2452.96
2024-10-12,default_user,3080.03,2342.33
2024-10-13,default_user,3347.74,2457.63
2024-10-14,default_user,3755.66,2451.28
2024-10-15,default_user,3995.7,2464.08
2024-10-16,default_user,4179.77,2452.46
2024-10-17,default_user,4250.6,2606.95
2024-10-18,default_user,3961.26,2331.64
2024-10-19,default_user,3009.77,2353.55
2024-10-20,default_user,2799.48,2643.2
2024-10-21,default_user,3634.75,2770.46
2024-10-22,default_user,4417.03,2492.68
2024-10-23,default_user,3607.41,2420.14
2024-10-24,default_user,4029.96,2221.36
2024-10-25,default_user,3933.39,2541.41
2024-10-26,default_user,3135.54,2351.92
2024-10-27,default_user,2861.51,2812.32
2024-10-28,default_user,3612.09,2341.81
2024-10-29,default_user,3759.58,2663.46
2024-10-30,default_user,3828.84,2578.89
2024-10-31,default_user,4236.37,2627.48
2024-11-01,default_user,4351.53,3894.03
2024-11-02,default_user,3539.18,2350.89
2024-11-03,default_user,2957.67,2709.38
2024-11-04,default_user,3863.19,2494.94
2024-11-05,default_user,3560.55,2596.14
2024-11-06,default_user,3848.02,2329.22
2024-11-07,default_user,3897.97,2540.37
2024-11-08,default_user,3476.95,2561.42
2024-11-09,default_user,3305.08,2391.75
2024-11-10,default_user,3321.63,2607.5
2024-11-11,default_user,3511.63,2377.32
2024-11-12,default_user,4037.79,2225.51
2024-11-13,default_user,3928.05,2385.29
2024-11-14,default_user,4083.07,2537.36
2024-11-15,default_user,4022.01,2704.11
2024-11-16,default_user,3324.22,2443.62
2024-11-17,default_user,2765.29,2630.73
2024-11-18,default_user,3800.84,2762.43
2024-11-19,default_user,3682.74,2506.52
2024-11-20,default_user,4002.14,2486.47
